variante,canonico
aceito,aceitar
ajuda,ajudar
alface,verduras
alimentar,comer
alimento,comida
almoço,comer
autista,autismo
banana,fruta
batata,legume
beterraba,legume
biscoito,besteira
cenoura,legume
chocolate,doce
chupar,beber
churrasco,carne
ciclo,quimioterapia
coca,besteira
começo,começar
complicado,dificuldade
comprimido,remédio
conhecer,conhecimento
consumir,comer
conversa,conversar
cozinha,cozinhar
descer,correr
devagarzinho,correr
diferença,diferente
difícil,dificuldade
doente,câncer
doença,câncer
doer,dor
dramin,remédio
enjoo,náusea
ensinar,explicar
folha,verduras
fortini,suplemento
força,forçar
fossar,forçar
gastronomia,gastrostomia
gole,beber
gtt,gastrostomia
hidratar,beber
inhame,legume
internação,internar
jantar,comer
kg,peso
laranja,fruta
lava,higiene
lavar,higiene
laxante,remédio
linfoma,câncer
mamadeira,leite
mamava,leite
massa,macarrão
mastigar,comer
maçã,fruta
mcdonald,besteira
medicamento,remédio
medicação,remédio
melancia,fruta
mexer,bater
morango,fruta
mtx,metotrexato
mudo,mudar
médico,doutor
nasal,sonda
nasoenteral,sonda
necessário,necessidade
ninho,leite
nutren,suplemento
obrigar,forçar
oferta,oferecer
ofertar,oferecer
olhar,observar
oncológico,câncer
organismo,corpo
orientação,ensinar
passado,passar
passo,passar
pastel,besteira
pequeninha,pequeno
perda,perder
perdido,perder
piquei,bater
pizza,besteira
prender,preso
quiboa,hipoclorito
quimio,quimioterapia
refrigerante,besteira
relação,relacionar
sal,salgado
sanduíche,besteira
sanitário,hipoclorito
sazón,tempero
seletividade,seletivo
suplementação,suplemento
tumor,câncer
uva,fruta
volta,voltar
vômito,vomitar
