;classe1;classe2;classe3
acabar;9;2;0
aceitar;17;16;0
acompanhar;9;0;0
acostumar;3;0;0
acreditar;8;3;0
adaptar;3;0;0
adiantar;2;4;0
adolescente;1;1;0
adorar;0;6;0
agradecer;3;0;1
ajudar;21;2;0
alimentação;15;22;0
alteração;0;3;0
alto;2;0;0
ambiente;0;3;0
amendoim;0;3;0
apetite;1;7;0
aprender;4;5;0
apresentar;3;0;0
arroz;0;12;0
arrumar;3;0;0
atrapalhar;4;0;0
autismo;2;1;0
azedo;0;1;0
açúcar;0;7;0
bastante;10;11;0
bater;4;9;0
beber;6;7;0
bem;23;31;0
benefício;0;3;0
besteira;1;18;0
boca;9;4;0
bola;0;1;1
bolo;0;2;0
bonito;1;2;0
botar;1;2;0
braço;3;0;0
brigar;2;1;0
básico;0;6;0
cabeça;5;0;0
café;3;1;0
carne;1;11;0
casa;1;15;0
casca;0;4;0
cheiro;1;13;0
comer;55;91;0
começar;32;22;0
comida;11;32;0
comprar;3;7;0
conhecimento;1;2;4
conseguir;24;9;1
consulta;2;1;0
contar;3;4;0
continuar;4;6;0
conversar;5;0;0
corpo;5;3;0
correr;4;5;0
correto;0;6;0
cortar;1;6;0
cozinhar;0;5;0
cru;0;4;0
cuidado;0;1;3
câncer;9;5;0
danone;1;1;0
dentro;1;3;0
depender;3;2;0
descobrir;5;0;0
desconto;2;0;0
deus;13;4;0
diagnóstico;2;1;0
diarreia;3;1;0
dieta;4;2;0
diferente;3;7;4
dificuldade;37;21;1
digestão;2;1;0
diminuir;4;6;0
direto;2;2;2
doce;4;22;0
dor;5;0;1
dormir;1;1;2
doutor;11;6;0
dúvida;5;5;0
emagrecer;3;0;0
engasgava;1;0;0
engolir;7;0;0
engordar;9;0;0
enjoar;10;5;0
entender;15;1;0
entrar;2;3;0
errado;1;2;0
específico;2;0;1
esperar;5;0;0
essencial;5;0;0
estômago;5;1;0
evitar;3;0;0
exame;2;3;0
exemplo;4;5;0
experiência;2;1;3
explicar;7;4;0
falado;3;0;0
falta;3;1;0
fase;5;1;0
feijão;0;7;0
final;1;2;0
forma;0;4;0
forte;4;1;0
forçar;14;1;0
fraco;2;0;0
frango;0;5;0
frente;1;0;2
fruta;6;37;0
funcionar;4;0;3
furado;1;0;0
fácil;8;0;0
ganhar;6;0;0
garrafa;7;2;0
gastrostomia;15;1;0
geral;0;5;0
gostar;5;30;0
gosto;4;5;0
graça;10;4;0
grosso;0;3;0
higiene;0;13;0
hipoclorito;1;9;0
horrível;3;0;0
hospital;5;8;0
importante;8;0;0
imunidade;1;7;0
incomodar;9;1;0
independente;0;4;0
infecção;3;0;0
interessante;5;0;0
internar;17;5;0
intestino;11;1;0
introdução;0;3;0
inventar;2;1;0
invocar;0;2;0
início;11;1;0
japonês;0;3;0
lado;3;1;0
legume;0;17;0
leite;6;11;0
lembrar;4;1;0
levar;3;0;1
lidar;3;0;0
líquido;2;2;0
macarrão;5;1;0
machucar;6;0;0
magro;5;0;0
maior;6;4;0
mal;11;5;0
mandar;3;2;0
manhã;4;0;0
manter;9;4;1
mato;0;3;0
medida;3;0;0
medo;16;2;2
melhorar;6;1;0
menos;13;4;0
metade;0;1;0
metotrexato;1;6;0
molho;0;3;0
momento;5;0;0
monte;0;3;0
moído;0;3;0
mudar;6;11;0
mundo;2;4;0
mão;1;1;1
nariz;3;0;1
necessidade;12;0;0
noite;4;1;0
notar;2;2;0
nunca;11;6;1
nutricionista;7;3;0
nutrir;2;1;0
náusea;12;6;0
observar;10;3;1
oferecer;5;2;0
ontem;3;5;0
oral;9;0;0
ovo;1;3;0
paladar;1;6;0
parar;6;5;0
parecer;9;0;0
passar;40;9;2
pedaço;0;2;0
pedir;3;6;0
pensar;7;2;0
pequeno;2;5;0
perceber;5;2;0
perder;23;2;0
perguntar;1;3;0
permanecer;2;0;0
período;3;1;0
peso;35;1;0
pesquisar;5;4;0
pessoa;3;0;2
pior;3;0;0
praticamente;1;2;0
preciso;1;0;2
preferir;0;2;0
preso;11;1;0
problema;3;10;0
procedimento;2;1;0
processo;1;2;0
proibir;0;3;0
puro;0;3;0
pó;6;3;0
pôr;4;4;0
qualidade;1;2;0
quantidade;4;3;0
queijo;2;0;0
querer;24;46;1
questão;15;5;1
quimioterapia;31;26;0
receio;3;2;1
recurso;2;1;0
relacionar;7;0;0
relutante;2;0;0
remédio;28;2;0
resolver;4;0;0
respirar;2;0;0
ressecar;4;0;0
restrição;0;3;0
resultado;2;1;0
rim;3;0;0
ritmo;1;2;0
ruim;3;3;2
rápido;5;2;0
sabor;3;4;0
sabão;0;6;0
sair;8;5;1
salgado;0;7;0
salvar;3;1;0
salvação;2;0;0
saudável;3;3;0
seguro;1;2;0
seletivo;3;2;0
semana;11;5;0
sensível;1;3;0
sentar;5;4;0
sentir;14;4;0
sofrer;4;2;0
soltar;5;0;1
sonda;60;2;3
suco;2;5;0
suplemento;53;7;0
suprir;4;0;0
tempero;2;3;0
tomar;72;24;0
tranquilo;5;4;0
tratamento;16;7;0
trocar;3;0;0
uso;9;0;0
uti;6;0;0
vender;3;2;0
verdura;2;16;0
verduras;0;6;0
via;9;0;0
vida;7;1;0
vitamina;4;1;0
voltar;14;7;0
vomitar;24;10;0
vontade;0;5;1
ácido;1;2;0
água;9;18;0
ótimo;3;1;0
