;centro-oeste;norte;sudeste
acabar;6;1;4
aceitar;20;1;12
acompanhar;4;3;2
acostumar;1;0;2
acreditar;5;0;6
adaptar;3;0;0
adiantar;1;4;1
adolescente;1;1;0
adorar;4;2;0
agradecer;0;0;4
ajudar;12;2;9
alimentação;13;6;18
alteração;0;0;3
alto;1;0;1
ambiente;2;0;1
amendoim;0;3;0
apetite;4;0;4
aprender;4;0;5
apresentar;3;0;0
arroz;8;1;3
arrumar;1;0;2
atrapalhar;1;0;3
autismo;0;3;0
azedo;1;0;0
açúcar;6;1;0
bastante;7;1;13
bater;8;2;3
beber;6;4;3
bem;25;7;22
benefício;0;0;3
besteira;2;8;9
boca;5;3;5
bola;2;0;0
bolo;0;2;0
bonito;2;0;1
botar;1;0;2
braço;3;0;0
brigar;1;0;2
básico;1;1;4
cabeça;4;0;1
café;2;0;2
carne;8;1;3
casa;4;4;8
casca;3;1;0
cheiro;6;1;7
comer;59;32;55
começar;26;4;24
comida;16;11;16
comprar;1;5;4
conhecimento;2;4;1
conseguir;18;4;12
consulta;2;1;0
contar;5;0;2
continuar;6;1;3
conversar;1;0;4
corpo;1;4;3
correr;6;1;2
correto;2;0;4
cortar;2;1;4
cozinhar;3;1;1
cru;2;1;1
cuidado;2;0;2
câncer;3;3;8
danone;0;0;2
dentro;1;3;0
depender;4;1;0
descobrir;3;1;1
desconto;0;2;0
deus;6;5;6
diagnóstico;1;0;2
diarreia;2;0;2
dieta;2;0;4
diferente;6;2;6
dificuldade;15;18;26
digestão;3;0;0
diminuir;9;0;1
direto;3;0;3
doce;11;5;10
dor;6;0;0
dormir;3;0;1
doutor;5;8;4
dúvida;0;1;9
emagrecer;2;0;1
engasgava;0;0;1
engolir;2;1;4
engordar;3;0;6
enjoar;3;9;3
entender;4;5;7
entrar;2;0;3
errado;2;0;1
específico;0;0;3
esperar;3;1;1
essencial;2;1;2
estômago;3;1;2
evitar;0;1;2
exame;1;1;3
exemplo;3;1;5
experiência;3;1;2
explicar;4;2;5
falado;2;0;1
falta;1;2;1
fase;2;1;3
feijão;5;0;2
final;2;0;1
forma;0;1;3
forte;5;0;0
forçar;9;4;2
fraco;1;0;1
frango;4;1;0
frente;2;1;0
fruta;25;8;10
funcionar;3;2;2
furado;1;0;0
fácil;5;0;3
ganhar;6;0;0
garrafa;5;1;3
gastrostomia;16;0;0
geral;3;0;2
gostar;14;5;16
gosto;5;1;3
graça;6;4;4
grosso;3;0;0
higiene;4;2;7
hipoclorito;2;1;7
horrível;1;0;2
hospital;5;6;2
importante;4;0;4
imunidade;2;3;3
incomodar;3;2;5
independente;3;0;1
infecção;0;1;2
interessante;3;1;1
internar;7;7;8
intestino;6;2;4
introdução;1;0;2
inventar;2;1;0
invocar;0;2;0
início;6;4;2
japonês;0;3;0
lado;2;1;1
legume;4;4;9
leite;10;2;5
lembrar;3;1;1
levar;1;2;1
lidar;0;0;3
líquido;4;0;0
macarrão;4;1;1
machucar;3;1;2
magro;3;0;2
maior;5;2;3
mal;7;3;6
mandar;1;0;4
manhã;1;0;3
manter;6;2;6
mato;3;0;0
medida;2;0;1
medo;9;0;11
melhorar;6;0;1
menos;10;2;5
metade;1;0;0
metotrexato;3;0;4
molho;0;0;3
momento;3;1;1
monte;1;2;0
moído;3;0;0
mudar;11;4;2
mundo;5;0;1
mão;1;1;1
nariz;2;0;2
necessidade;4;2;6
noite;3;1;1
notar;3;1;0
nunca;8;3;7
nutricionista;4;0;6
nutrir;1;0;2
náusea;3;9;6
observar;8;5;1
oferecer;3;4;0
ontem;3;1;4
oral;7;0;2
ovo;0;1;3
paladar;2;0;5
parar;7;1;3
parecer;9;0;0
passar;24;10;17
pedaço;0;2;0
pedir;2;1;6
pensar;3;2;4
pequeno;1;1;5
perceber;3;3;1
perder;14;4;7
perguntar;0;2;2
permanecer;1;0;1
período;2;0;2
peso;21;4;11
pesquisar;1;5;3
pessoa;3;1;1
pior;1;1;1
praticamente;0;1;2
preciso;2;0;1
preferir;1;0;1
preso;7;2;3
problema;6;3;4
procedimento;1;1;1
processo;0;2;1
proibir;0;3;0
puro;1;0;2
pó;6;0;3
pôr;5;0;3
qualidade;1;1;1
quantidade;2;0;5
queijo;1;0;1
querer;32;17;22
questão;9;2;10
quimioterapia;19;15;23
receio;2;0;4
recurso;1;0;2
relacionar;3;3;1
relutante;2;0;0
remédio;18;10;2
resolver;2;1;1
respirar;2;0;0
ressecar;2;0;2
restrição;3;0;0
resultado;2;0;1
rim;0;0;3
ritmo;0;0;3
ruim;5;0;3
rápido;5;2;0
sabor;6;0;1
sabão;2;0;4
sair;7;3;4
salgado;4;1;2
salvar;1;0;3
salvação;0;0;2
saudável;1;4;1
seguro;1;0;2
seletivo;1;2;2
semana;8;1;7
sensível;3;0;1
sentar;3;3;3
sentir;2;8;8
sofrer;2;2;2
soltar;3;0;3
sonda;28;11;26
suco;2;3;2
suplemento;25;8;27
suprir;0;2;2
tempero;0;0;5
tomar;41;20;35
tranquilo;3;3;3
tratamento;9;5;9
trocar;2;0;1
uso;8;0;1
uti;2;0;4
vender;1;1;3
verdura;6;6;6
verduras;0;2;4
via;8;0;1
vida;4;1;3
vitamina;4;1;0
voltar;9;4;8
vomitar;18;8;8
vontade;3;2;1
ácido;3;0;0
água;12;4;11
ótimo;3;0;1
