;feminino;masculino
acabar;10;1
aceitar;32;1
acompanhar;6;3
acostumar;3;0
acreditar;11;0
adaptar;3;0
adiantar;2;4
adolescente;1;1
adorar;4;2
agradecer;4;0
ajudar;21;2
alimentação;31;6
alteração;3;0
alto;2;0
ambiente;3;0
amendoim;0;3
apetite;8;0
aprender;9;0
apresentar;3;0
arroz;11;1
arrumar;3;0
atrapalhar;4;0
autismo;0;3
azedo;1;0
açúcar;6;1
bastante;20;1
bater;11;2
beber;9;4
bem;47;7
benefício;3;0
besteira;11;8
boca;10;3
bola;2;0
bolo;0;2
bonito;3;0
botar;3;0
braço;3;0
brigar;3;0
básico;5;1
cabeça;5;0
café;4;0
carne;11;1
casa;12;4
casca;3;1
cheiro;13;1
comer;114;32
começar;50;4
comida;32;11
comprar;5;5
conhecimento;3;4
conseguir;30;4
consulta;2;1
contar;7;0
continuar;9;1
conversar;5;0
corpo;4;4
correr;8;1
correto;6;0
cortar;6;1
cozinhar;4;1
cru;3;1
cuidado;4;0
câncer;11;3
danone;2;0
dentro;1;3
depender;4;1
descobrir;4;1
desconto;0;2
deus;12;5
diagnóstico;3;0
diarreia;4;0
dieta;6;0
diferente;12;2
dificuldade;41;18
digestão;3;0
diminuir;10;0
direto;6;0
doce;21;5
dor;6;0
dormir;4;0
doutor;9;8
dúvida;9;1
emagrecer;3;0
engasgava;1;0
engolir;6;1
engordar;9;0
enjoar;6;9
entender;11;5
entrar;5;0
errado;3;0
específico;3;0
esperar;4;1
essencial;4;1
estômago;5;1
evitar;2;1
exame;4;1
exemplo;8;1
experiência;5;1
explicar;9;2
falado;3;0
falta;2;2
fase;5;1
feijão;7;0
final;3;0
forma;3;1
forte;5;0
forçar;11;4
fraco;2;0
frango;4;1
frente;2;1
fruta;35;8
funcionar;5;2
furado;1;0
fácil;8;0
ganhar;6;0
garrafa;8;1
gastrostomia;16;0
geral;5;0
gostar;30;5
gosto;8;1
graça;10;4
grosso;3;0
higiene;11;2
hipoclorito;9;1
horrível;3;0
hospital;7;6
importante;8;0
imunidade;5;3
incomodar;8;2
independente;4;0
infecção;2;1
interessante;4;1
internar;15;7
intestino;10;2
introdução;3;0
inventar;2;1
invocar;0;2
início;8;4
japonês;0;3
lado;3;1
legume;13;4
leite;15;2
lembrar;4;1
levar;2;2
lidar;3;0
líquido;4;0
macarrão;5;1
machucar;5;1
magro;5;0
maior;8;2
mal;13;3
mandar;5;0
manhã;4;0
manter;12;2
mato;3;0
medida;3;0
medo;20;0
melhorar;7;0
menos;15;2
metade;1;0
metotrexato;7;0
molho;3;0
momento;4;1
monte;1;2
moído;3;0
mudar;13;4
mundo;6;0
mão;2;1
nariz;4;0
necessidade;10;2
noite;4;1
notar;3;1
nunca;15;3
nutricionista;10;0
nutrir;3;0
náusea;9;9
observar;9;5
oferecer;3;4
ontem;7;1
oral;9;0
ovo;3;1
paladar;7;0
parar;10;1
parecer;9;0
passar;41;10
pedaço;0;2
pedir;8;1
pensar;7;2
pequeno;6;1
perceber;4;3
perder;21;4
perguntar;2;2
permanecer;2;0
período;4;0
peso;32;4
pesquisar;4;5
pessoa;4;1
pior;2;1
praticamente;2;1
preciso;3;0
preferir;2;0
preso;10;2
problema;10;3
procedimento;2;1
processo;1;2
proibir;0;3
puro;3;0
pó;9;0
pôr;8;0
qualidade;2;1
quantidade;7;0
queijo;2;0
querer;54;17
questão;19;2
quimioterapia;42;15
receio;6;0
recurso;3;0
relacionar;4;3
relutante;2;0
remédio;20;10
resolver;3;1
respirar;2;0
ressecar;4;0
restrição;3;0
resultado;3;0
rim;3;0
ritmo;3;0
ruim;8;0
rápido;5;2
sabor;7;0
sabão;6;0
sair;11;3
salgado;6;1
salvar;4;0
salvação;2;0
saudável;2;4
seguro;3;0
seletivo;3;2
semana;15;1
sensível;4;0
sentar;6;3
sentir;10;8
sofrer;4;2
soltar;6;0
sonda;54;11
suco;4;3
suplemento;52;8
suprir;2;2
tempero;5;0
tomar;76;20
tranquilo;6;3
tratamento;18;5
trocar;3;0
uso;9;0
uti;6;0
vender;4;1
verdura;12;6
verduras;4;2
via;9;0
vida;7;1
vitamina;4;1
voltar;17;4
vomitar;26;8
vontade;4;2
ácido;3;0
água;23;4
ótimo;4;0
