;0;1
acabar;5;6
aceitar;13;20
acompanhar;5;4
acostumar;2;1
acreditar;6;5
adaptar;0;3
adiantar;5;1
adolescente;1;1
adorar;2;4
agradecer;4;0
ajudar;11;12
alimentação;24;13
alteração;3;0
alto;1;1
ambiente;1;2
amendoim;3;0
apetite;4;4
aprender;5;4
apresentar;0;3
arroz;4;8
arrumar;2;1
atrapalhar;3;1
autismo;3;0
azedo;0;1
açúcar;1;6
bastante;14;7
bater;5;8
beber;7;6
bem;29;25
benefício;3;0
besteira;17;2
boca;8;5
bola;0;2
bolo;2;0
bonito;1;2
botar;2;1
braço;0;3
brigar;2;1
básico;5;1
cabeça;1;4
café;2;2
carne;4;8
casa;12;4
casca;1;3
cheiro;8;6
comer;87;59
começar;28;26
comida;27;16
comprar;9;1
conhecimento;5;2
conseguir;16;18
consulta;1;2
contar;2;5
continuar;4;6
conversar;4;1
corpo;7;1
correr;3;6
correto;4;2
cortar;5;2
cozinhar;2;3
cru;2;2
cuidado;2;2
câncer;11;3
danone;2;0
dentro;3;1
depender;1;4
descobrir;2;3
desconto;2;0
deus;11;6
diagnóstico;2;1
diarreia;2;2
dieta;4;2
diferente;8;6
dificuldade;44;15
digestão;0;3
diminuir;1;9
direto;3;3
doce;15;11
dor;0;6
dormir;1;3
doutor;12;5
dúvida;10;0
emagrecer;1;2
engasgava;1;0
engolir;5;2
engordar;6;3
enjoar;12;3
entender;12;4
entrar;3;2
errado;1;2
específico;3;0
esperar;2;3
essencial;3;2
estômago;3;3
evitar;3;0
exame;4;1
exemplo;6;3
experiência;3;3
explicar;7;4
falado;1;2
falta;3;1
fase;4;2
feijão;2;5
final;1;2
forma;4;0
forte;0;5
forçar;6;9
fraco;1;1
frango;1;4
frente;1;2
fruta;18;25
funcionar;4;3
furado;0;1
fácil;3;5
ganhar;0;6
garrafa;4;5
gastrostomia;0;16
geral;2;3
gostar;21;14
gosto;4;5
graça;8;6
grosso;0;3
higiene;9;4
hipoclorito;8;2
horrível;2;1
hospital;8;5
importante;4;4
imunidade;6;2
incomodar;7;3
independente;1;3
infecção;3;0
interessante;2;3
internar;15;7
intestino;6;6
introdução;2;1
inventar;1;2
invocar;2;0
início;6;6
japonês;3;0
lado;2;2
legume;13;4
leite;7;10
lembrar;2;3
levar;3;1
lidar;3;0
líquido;0;4
macarrão;2;4
machucar;3;3
magro;2;3
maior;5;5
mal;9;7
mandar;4;1
manhã;3;1
manter;8;6
mato;0;3
medida;1;2
medo;11;9
melhorar;1;6
menos;7;10
metade;0;1
metotrexato;4;3
molho;3;0
momento;2;3
monte;2;1
moído;0;3
mudar;6;11
mundo;1;5
mão;2;1
nariz;2;2
necessidade;8;4
noite;2;3
notar;1;3
nunca;10;8
nutricionista;6;4
nutrir;2;1
náusea;15;3
observar;6;8
oferecer;4;3
ontem;5;3
oral;2;7
ovo;4;0
paladar;5;2
parar;4;7
parecer;0;9
passar;27;24
pedaço;2;0
pedir;7;2
pensar;6;3
pequeno;6;1
perceber;4;3
perder;11;14
perguntar;4;0
permanecer;1;1
período;2;2
peso;15;21
pesquisar;8;1
pessoa;2;3
pior;2;1
praticamente;3;0
preciso;1;2
preferir;1;1
preso;5;7
problema;7;6
procedimento;2;1
processo;3;0
proibir;3;0
puro;2;1
pó;3;6
pôr;3;5
qualidade;2;1
quantidade;5;2
queijo;1;1
querer;39;32
questão;12;9
quimioterapia;38;19
receio;4;2
recurso;2;1
relacionar;4;3
relutante;0;2
remédio;12;18
resolver;2;2
respirar;0;2
ressecar;2;2
restrição;0;3
resultado;1;2
rim;3;0
ritmo;3;0
ruim;3;5
rápido;2;5
sabor;1;6
sabão;4;2
sair;7;7
salgado;3;4
salvar;3;1
salvação;2;0
saudável;5;1
seguro;2;1
seletivo;4;1
semana;8;8
sensível;1;3
sentar;6;3
sentir;16;2
sofrer;4;2
soltar;3;3
sonda;37;28
suco;5;2
suplemento;35;25
suprir;4;0
tempero;5;0
tomar;55;41
tranquilo;6;3
tratamento;14;9
trocar;1;2
uso;1;8
uti;4;2
vender;4;1
verdura;12;6
verduras;6;0
via;1;8
vida;4;4
vitamina;1;4
voltar;12;9
vomitar;16;18
vontade;3;3
ácido;0;3
água;15;12
ótimo;1;3
