;0;1;2
acabar;0;8;3
aceitar;1;23;9
acompanhar;1;8;0
acostumar;0;2;1
acreditar;1;4;6
adaptar;0;2;1
adiantar;0;5;1
adolescente;0;2;0
adorar;0;5;1
agradecer;0;0;4
ajudar;1;18;4
alimentação;1;29;7
alteração;3;0;0
alto;0;1;1
ambiente;0;3;0
amendoim;0;3;0
apetite;3;5;0
aprender;3;5;1
apresentar;0;1;2
arroz;1;5;6
arrumar;0;3;0
atrapalhar;1;0;3
autismo;0;3;0
azedo;0;1;0
açúcar;0;4;3
bastante;4;10;7
bater;1;10;2
beber;0;7;6
bem;10;33;11
benefício;0;3;0
besteira;0;11;8
boca;2;8;3
bola;0;2;0
bolo;0;2;0
bonito;0;1;2
botar;0;2;1
braço;0;3;0
brigar;1;1;1
básico;3;2;1
cabeça;1;4;0
café;0;3;1
carne;1;6;5
casa;2;13;1
casca;0;3;1
cheiro;1;7;6
comer;15;97;34
começar;5;30;19
comida;0;27;16
comprar;0;6;4
conhecimento;1;6;0
conseguir;2;22;10
consulta;0;2;1
contar;2;4;1
continuar;1;5;4
conversar;1;2;2
corpo;0;8;0
correr;1;7;1
correto;1;4;1
cortar;0;7;0
cozinhar;0;4;1
cru;0;3;1
cuidado;1;2;1
câncer;2;10;2
danone;0;0;2
dentro;0;4;0
depender;0;4;1
descobrir;0;4;1
desconto;0;2;0
deus;3;10;4
diagnóstico;0;3;0
diarreia;2;2;0
dieta;1;3;2
diferente;3;9;2
dificuldade;8;38;13
digestão;0;3;0
diminuir;0;9;1
direto;2;2;2
doce;3;10;13
dor;0;4;2
dormir;0;2;2
doutor;0;15;2
dúvida;1;1;8
emagrecer;0;2;1
engasgava;0;1;0
engolir;0;2;5
engordar;0;4;5
enjoar;0;10;5
entender;1;10;5
entrar;0;3;2
errado;0;2;1
específico;1;2;0
esperar;1;3;1
essencial;0;4;1
estômago;0;3;3
evitar;0;3;0
exame;1;2;2
exemplo;1;6;2
experiência;0;4;2
explicar;3;6;2
falado;0;2;1
falta;0;4;0
fase;1;2;3
feijão;1;2;4
final;0;3;0
forma;2;2;0
forte;0;4;1
forçar;0;10;5
fraco;0;2;0
frango;0;4;1
frente;0;3;0
fruta;1;26;16
funcionar;2;4;1
furado;0;1;0
fácil;1;6;1
ganhar;0;5;1
garrafa;0;9;0
gastrostomia;0;10;6
geral;1;4;0
gostar;1;15;19
gosto;0;5;4
graça;2;9;3
grosso;0;2;1
higiene;1;6;6
hipoclorito;3;4;3
horrível;0;2;1
hospital;0;10;3
importante;1;6;1
imunidade;2;4;2
incomodar;0;7;3
independente;0;3;1
infecção;1;2;0
interessante;0;5;0
internar;2;14;6
intestino;1;9;2
introdução;1;1;1
inventar;0;2;1
invocar;0;2;0
início;2;8;2
japonês;0;3;0
lado;0;2;2
legume;3;9;5
leite;0;9;8
lembrar;0;3;2
levar;0;4;0
lidar;1;2;0
líquido;0;3;1
macarrão;0;6;0
machucar;2;4;0
magro;0;4;1
maior;1;6;3
mal;2;10;4
mandar;2;3;0
manhã;0;3;1
manter;2;11;1
mato;0;2;1
medida;0;3;0
medo;2;14;4
melhorar;1;4;2
menos;1;13;3
metade;0;0;1
metotrexato;1;3;3
molho;1;2;0
momento;0;4;1
monte;0;2;1
moído;0;0;3
mudar;0;12;5
mundo;0;4;2
mão;0;3;0
nariz;1;0;3
necessidade;3;8;1
noite;0;4;1
notar;0;4;0
nunca;5;9;4
nutricionista;0;8;2
nutrir;0;1;2
náusea;5;12;1
observar;0;12;2
oferecer;0;7;0
ontem;0;7;1
oral;0;6;3
ovo;0;3;1
paladar;3;2;2
parar;0;9;2
parecer;0;6;3
passar;6;31;14
pedaço;0;2;0
pedir;0;9;0
pensar;0;8;1
pequeno;2;3;2
perceber;1;5;1
perder;6;15;4
perguntar;0;2;2
permanecer;1;1;0
período;0;3;1
peso;6;22;8
pesquisar;1;8;0
pessoa;1;2;2
pior;0;1;2
praticamente;0;1;2
preciso;0;3;0
preferir;0;2;0
preso;1;9;2
problema;0;6;7
procedimento;1;1;1
processo;0;3;0
proibir;0;3;0
puro;1;0;2
pó;1;5;3
pôr;0;2;6
qualidade;0;3;0
quantidade;3;2;2
queijo;0;1;1
querer;1;42;28
questão;6;12;3
quimioterapia;10;39;8
receio;3;0;3
recurso;0;3;0
relacionar;1;5;1
relutante;0;0;2
remédio;0;27;3
resolver;0;3;1
respirar;0;0;2
ressecar;0;4;0
restrição;0;2;1
resultado;0;0;3
rim;0;3;0
ritmo;0;3;0
ruim;1;7;0
rápido;0;5;2
sabor;1;2;4
sabão;1;2;3
sair;0;10;4
salgado;0;1;6
salvar;0;1;3
salvação;0;2;0
saudável;0;6;0
seguro;1;1;1
seletivo;1;4;0
semana;1;8;7
sensível;1;3;0
sentar;1;6;2
sentir;3;13;2
sofrer;1;2;3
soltar;0;6;0
sonda;2;37;26
suco;0;5;2
suplemento;4;37;19
suprir;2;2;0
tempero;0;5;0
tomar;7;59;30
tranquilo;3;5;1
tratamento;1;20;2
trocar;1;2;0
uso;1;3;5
uti;0;2;4
vender;0;1;4
verdura;2;13;3
verduras;0;5;1
via;0;7;2
vida;0;6;2
vitamina;0;3;2
voltar;5;14;2
vomitar;4;21;9
vontade;0;5;1
ácido;0;0;3
água;3;14;10
ótimo;1;2;1
