;0-3 meses;4-6 meses;7-12 meses
acabar;9;2;0
aceitar;24;6;3
acompanhar;5;4;0
acostumar;2;1;0
acreditar;10;0;1
adaptar;2;0;1
adiantar;2;4;0
adolescente;1;1;0
adorar;3;2;1
agradecer;4;0;0
ajudar;17;6;0
alimentação;11;21;5
alteração;3;0;0
alto;0;1;1
ambiente;2;1;0
amendoim;0;3;0
apetite;7;1;0
aprender;6;2;1
apresentar;1;0;2
arroz;7;1;4
arrumar;1;2;0
atrapalhar;3;0;1
autismo;0;3;0
azedo;1;0;0
açúcar;3;1;3
bastante;14;5;2
bater;7;4;2
beber;4;5;4
bem;36;13;5
benefício;0;3;0
besteira;6;11;2
boca;10;3;0
bola;2;0;0
bolo;0;2;0
bonito;2;0;1
botar;0;2;1
braço;3;0;0
brigar;3;0;0
básico;3;2;1
cabeça;5;0;0
café;3;1;0
carne;8;1;3
casa;7;9;0
casca;2;1;1
cheiro;7;4;3
comer;84;50;12
começar;28;15;11
comida;18;18;7
comprar;5;5;0
conhecimento;3;4;0
conseguir;18;10;6
consulta;1;1;1
contar;6;0;1
continuar;7;1;2
conversar;2;2;1
corpo;1;7;0
correr;6;2;1
correto;4;2;0
cortar;2;5;0
cozinhar;4;1;0
cru;3;1;0
cuidado;4;0;0
câncer;7;7;0
danone;2;0;0
dentro;1;3;0
depender;3;1;1
descobrir;4;1;0
desconto;0;2;0
deus;11;5;1
diagnóstico;1;2;0
diarreia;4;0;0
dieta;5;1;0
diferente;9;4;1
dificuldade;24;29;6
digestão;3;0;0
diminuir;10;0;0
direto;5;0;1
doce;15;5;6
dor;4;0;2
dormir;3;0;1
doutor;7;10;0
dúvida;9;1;0
emagrecer;3;0;0
engasgava;0;1;0
engolir;5;1;1
engordar;4;3;2
enjoar;4;9;2
entender;4;9;3
entrar;2;2;1
errado;1;1;1
específico;1;2;0
esperar;3;1;1
essencial;3;2;0
estômago;4;1;1
evitar;0;3;0
exame;4;1;0
exemplo;6;3;0
experiência;5;1;0
explicar;5;4;2
falado;1;1;1
falta;1;3;0
fase;4;1;1
feijão;4;0;3
final;2;1;0
forma;2;2;0
forte;4;0;1
forçar;6;5;4
fraco;1;1;0
frango;3;1;1
frente;2;1;0
fruta;20;12;11
funcionar;4;2;1
furado;1;0;0
fácil;7;1;0
ganhar;5;0;1
garrafa;5;4;0
gastrostomia;10;0;6
geral;4;1;0
gostar;18;9;8
gosto;3;3;3
graça;9;4;1
grosso;2;0;1
higiene;7;4;2
hipoclorito;6;3;1
horrível;0;2;1
hospital;6;6;1
importante;6;2;0
imunidade;4;3;1
incomodar;4;5;1
independente;4;0;0
infecção;1;2;0
interessante;3;2;0
internar;11;9;2
intestino;9;3;0
introdução;3;0;0
inventar;1;1;1
invocar;0;2;0
início;6;4;2
japonês;0;3;0
lado;2;1;1
legume;12;5;0
leite;12;2;3
lembrar;1;2;2
levar;1;3;0
lidar;1;2;0
líquido;3;0;1
macarrão;4;2;0
machucar;5;1;0
magro;4;1;0
maior;5;3;2
mal;7;6;3
mandar;3;2;0
manhã;2;2;0
manter;7;6;1
mato;2;0;1
medida;2;1;0
medo;15;5;0
melhorar;5;0;2
menos;10;5;2
metade;0;0;1
metotrexato;1;3;3
molho;1;2;0
momento;2;2;1
monte;0;2;1
moído;0;0;3
mudar;10;4;3
mundo;5;0;1
mão;1;2;0
nariz;2;0;2
necessidade;6;5;1
noite;4;1;0
notar;3;1;0
nunca;13;3;2
nutricionista;6;4;0
nutrir;3;0;0
náusea;7;10;1
observar;6;6;2
oferecer;3;4;0
ontem;4;4;0
oral;6;1;2
ovo;1;3;0
paladar;7;0;0
parar;5;4;2
parecer;6;0;3
passar;24;17;10
pedaço;0;2;0
pedir;2;7;0
pensar;4;5;0
pequeno;5;2;0
perceber;3;3;1
perder;18;4;3
perguntar;2;2;0
permanecer;2;0;0
período;1;2;1
peso;25;6;5
pesquisar;2;7;0
pessoa;2;1;2
pior;1;1;1
praticamente;2;1;0
preciso;2;1;0
preferir;1;1;0
preso;10;2;0
problema;5;4;4
procedimento;1;1;1
processo;0;3;0
proibir;0;3;0
puro;2;0;1
pó;4;2;3
pôr;1;2;5
qualidade;1;2;0
quantidade;7;0;0
queijo;0;1;1
querer;33;24;14
questão;14;5;2
quimioterapia;31;23;3
receio;4;0;2
recurso;1;2;0
relacionar;3;3;1
relutante;0;0;2
remédio;17;11;2
resolver;1;2;1
respirar;0;0;2
ressecar;2;2;0
restrição;2;0;1
resultado;1;0;2
rim;0;3;0
ritmo;0;3;0
ruim;6;2;0
rápido;3;2;2
sabor;3;0;4
sabão;2;2;2
sair;7;5;2
salgado;2;1;4
salvar;4;0;0
salvação;0;2;0
saudável;1;5;0
seguro;3;0;0
seletivo;2;3;0
semana;10;3;3
sensível;4;0;0
sentar;2;5;2
sentir;5;12;1
sofrer;2;2;2
soltar;3;3;0
sonda;30;22;13
suco;2;4;1
suplemento;32;20;8
suprir;2;2;0
tempero;0;5;0
tomar;46;34;16
tranquilo;5;3;1
tratamento;8;13;2
trocar;3;0;0
uso;4;0;5
uti;4;1;1
vender;3;1;1
verdura;11;7;0
verduras;1;5;0
via;6;1;2
vida;6;2;0
vitamina;2;1;2
voltar;16;5;0
vomitar;19;9;6
vontade;4;2;0
ácido;0;0;3
água;15;7;5
ótimo;3;0;1
