classe;forma;qui2;sinal;n_classe;n_total
1;sonda;42.378;+;60;65
1;fruta;34.485;-;6;43
1;comer;31.772;-;55;146
1;suplemento;30.572;+;53;60
1;peso;27.657;+;35;36
1;gostar;26.982;-;5;35
1;besteira;20.735;-;1;19
1;tomar;19.195;+;72;96
1;remédio;18.595;+;28;30
1;doce;18.511;-;4;26
1;comida;17.99;-;11;43
1;querer;17.184;-;24;71
1;casa;16.647;-;1;16
1;verdura;15.319;-;2;18
1;perder;14.209;+;23;25
1;cheiro;13.969;-;1;14
1;ajudar;12.504;+;21;23
1;passar;12.222;+;40;51
1;carne;11.332;-;1;12
1;necessidade;9.809;+;12;12
1;entender;9.747;+;15;16
1;gastrostomia;9.747;+;15;16
1;forçar;8.913;+;14;15
1;hipoclorito;8.745;-;1;10
1;acompanhar;7.297;+;9;9
1;engordar;7.297;+;9;9
1;oral;7.297;+;9;9
1;parecer;7.297;+;9;9
1;uso;7.297;+;9;9
1;via;7.297;+;9;9
1;diferente;6.973;-;3;14
1;fácil;6.469;+;8;8
1;importante;6.469;+;8;8
1;intestino;6.458;+;11;12
1;início;6.458;+;11;12
1;preso;6.458;+;11;12
1;apetite;6.219;-;1;8
1;imunidade;6.219;-;1;8
1;água;5.962;-;9;27
1;problema;5.853;-;3;13
1;engolir;5.645;+;7;7
1;relacionar;5.645;+;7;7
1;medo;5.006;+;16;20
1;conhecimento;4.989;-;1;7
1;cortar;4.989;-;1;7
1;metotrexato;4.989;-;1;7
1;paladar;4.989;-;1;7
1;incomodar;4.866;+;9;10
1;ganhar;4.825;+;6;6
1;machucar;4.825;+;6;6
1;uti;4.825;+;6;6
1;bem;4.47;-;23;54
1;internar;4.359;+;17;22
1;cabeça;4.01;+;5;5
1;conversar;4.01;+;5;5
1;descobrir;4.01;+;5;5
1;esperar;4.01;+;5;5
1;essencial;4.01;+;5;5
1;interessante;4.01;+;5;5
1;magro;4.01;+;5;5
1;momento;4.01;+;5;5
1;alimentação;3.883;-;15;37
2;sonda;46.681;-;2;65
2;comer;44.712;+;91;146
2;fruta;40.69;+;37;43
2;gostar;31.872;+;30;35
2;legume;25.61;+;17;17
2;suplemento;25.377;-;7;60
2;peso;24.036;-;1;36
2;besteira;23.876;+;18;19
2;comida;22.392;+;32;43
2;doce;21.95;+;22;26
2;querer;20.441;+;46;71
2;higiene;19.369;+;13;13
2;casa;19.214;+;15;16
2;verdura;17.914;+;16;18
2;arroz;17.831;+;12;12
2;cheiro;16.158;+;13;14
2;remédio;15.884;-;2;30
2;tomar;13.627;-;24;96
2;passar;13.297;-;9;51
2;carne;13.149;+;11;12
2;perder;12.055;-;2;25
2;ajudar;10.568;-;2;23
2;açúcar;10.261;+;7;7
2;feijão;10.261;+;7;7
2;salgado;10.261;+;7;7
2;hipoclorito;10.193;+;9;10
2;adorar;8.771;+;6;6
2;básico;8.771;+;6;6
2;correto;8.771;+;6;6
2;sabão;8.771;+;6;6
2;verduras;8.771;+;6;6
2;medo;8.392;-;2;20
2;entender;8.342;-;1;16
2;gastrostomia;8.342;-;1;16
2;água;7.915;+;18;27
2;forçar;7.614;-;1;15
2;apetite;7.304;+;7;8
2;imunidade;7.304;+;7;8
2;cozinhar;7.29;+;5;5
2;frango;7.29;+;5;5
2;geral;7.29;+;5;5
2;problema;7.18;+;10;13
2;bem;7.006;+;31;54
2;cortar;5.893;+;6;7
2;metotrexato;5.893;+;6;7
2;paladar;5.893;+;6;7
2;casca;5.816;+;4;4
2;cru;5.816;+;4;4
2;forma;5.816;+;4;4
2;independente;5.816;+;4;4
2;alimentação;5.774;+;22;37
2;intestino;5.469;-;1;12
2;início;5.469;-;1;12
2;preso;5.469;-;1;12
2;vontade;4.515;+;5;6
2;bater;4.434;+;9;13
2;alteração;4.351;+;3;3
2;ambiente;4.351;+;3;3
2;amendoim;4.351;+;3;3
2;benefício;4.351;+;3;3
2;grosso;4.351;+;3;3
2;introdução;4.351;+;3;3
2;japonês;4.351;+;3;3
2;mato;4.351;+;3;3
2;molho;4.351;+;3;3
2;monte;4.351;+;3;3
2;moído;4.351;+;3;3
2;proibir;4.351;+;3;3
2;puro;4.351;+;3;3
2;restrição;4.351;+;3;3
2;leite;4.133;+;11;17
2;mudar;4.133;+;11;17
2;incomodar;4.082;-;1;10
3;cuidado;67.851;+;3;4
3;conhecimento;67.579;+;4;7
3;experiência;43.489;+;3;6
3;frente;39.659;+;2;3
3;preciso;39.659;+;2;3
3;funcionar;36.537;+;3;7
3;diferente;30.507;+;4;14
3;dormir;28.838;+;2;4
3;pessoa;22.355;+;2;5
3;direto;18.04;+;2;6
3;bola;14.342;+;1;2
3;ruim;12.666;+;2;8
3;específico;8.948;+;1;3
3;mão;8.948;+;1;3
3;agradecer;6.265;+;1;4
3;levar;6.265;+;1;4
3;nariz;6.265;+;1;4
