topics;Griffiths2004;CaoJuan2009;Arun2010;Deveaud2014
10;-13913.0087196557;0.0765370081220318;675.983014902983;1.9719930074052
9;-14046.0012679129;0.0518591939798351;683.881931850781;2.04853771567515
8;-14235.1248806671;0.0526527095198066;709.299290571912;2.0561481934345
7;-14420.9596469683;0.0597250134244556;740.155642484541;2.09513703053703
6;-14586.5519593783;0.0816553349162672;783.479661004652;1.96959656983292
5;-14763.0076713083;0.0543784103368158;815.35903666878;2.17351398802972
4;-15298.5569482783;0.0848231739082926;868.902357043526;2.13899881003713
3;-15837.6238769151;0.0596547152575332;924.462137353972;2.21358458889671
2;-16760.953661223;0.0267061713587572;1011.27080314362;2.39819673085622
