forma_i;forma_j;peso;coocorrencia
aceitar;comer;16.0;16
ajudar;suplemento;12.0;12
alimentação;comer;19.0;19
alimentação;câncer;5.0;5
bastante;comer;12.0;12
bater;fruta;4.0;4
beber;comer;6.0;6
bem;comer;28.0;28
besteira;comer;11.0;11
boca;comer;7.0;7
casa;comer;9.0;9
cheiro;comer;7.0;7
comer;começar;18.0;18
comer;comida;26.0;26
comer;conseguir;15.0;15
comer;deus;6.0;6
comer;diferente;6.0;6
comer;dificuldade;23.0;23
comer;doce;15.0;15
comer;doutor;4.0;4
comer;enjoar;8.0;8
comer;fruta;25.0;25
comer;gostar;21.0;21
comer;hospital;7.0;7
comer;legume;12.0;12
comer;manter;8.0;8
comer;menos;10.0;10
comer;mudar;8.0;8
comer;nunca;4.0;4
comer;observar;4.0;4
comer;passar;20.0;20
comer;peso;14.0;14
comer;problema;8.0;8
comer;querer;39.0;39
comer;questão;8.0;8
comer;quimioterapia;22.0;22
comer;semana;6.0;6
comer;sentir;6.0;6
comer;tomar;28.0;28
comer;verdura;14.0;14
comer;voltar;12.0;12
comer;água;10.0;10
começar;tratamento;10.0;10
deus;graça;14.0;14
entender;sonda;7.0;7
forçar;tomar;8.0;8
gastrostomia;passar;8.0;8
higiene;água;5.0;5
internar;tomar;9.0;9
leite;tomar;11.0;11
mal;passar;8.0;8
medo;sonda;6.0;6
náusea;quimioterapia;8.0;8
perder;peso;22.0;22
remédio;tomar;14.0;14
sair;sonda;5.0;5
sonda;tomar;21.0;21
suplemento;tomar;35.0;35
tomar;vomitar;14.0;14
