forma_i;forma_j;peso
aceitar;comer;16
ajudar;suplemento;12
alimentação;comer;19
alimentação;câncer;5
bastante;comer;12
bater;fruta;4
beber;comer;6
bem;comer;28
besteira;comer;11
boca;tomar;7
casa;comer;9
cheiro;comer;7
comer;começar;18
comer;comida;26
comer;conseguir;15
comer;deus;6
comer;diferente;6
comer;dificuldade;23
comer;doce;15
comer;doutor;4
comer;enjoar;8
comer;fruta;25
comer;gostar;21
comer;hospital;7
comer;legume;12
comer;manter;8
comer;menos;10
comer;mudar;8
comer;observar;4
comer;passar;20
comer;peso;14
comer;problema;8
comer;querer;39
comer;questão;8
comer;quimioterapia;22
comer;tomar;28
comer;verdura;14
comer;voltar;12
comer;água;10
começar;tratamento;10
deus;graça;14
entender;sonda;7
forçar;tomar;8
gastrostomia;sonda;8
higiene;água;5
internar;tomar;9
leite;tomar;11
mal;passar;8
medo;sonda;6
nunca;sonda;4
náusea;quimioterapia;8
perder;peso;22
remédio;tomar;14
sair;sonda;5
semana;tomar;6
sentir;tomar;6
sonda;tomar;21
suplemento;tomar;35
tomar;vomitar;14
